pg_id:ID(Book),title,language
10376,American Indian Stories,en
10377,The Evil Guest,en
10378,Autobiography,en
10379,At Love's Cost,en
1038,Style,en
10380,Bible Stories and Religious Classics,en
10381,"The History of a Crime The Testimony of an Eye-Witness",en
10382,"Memoir of William Watts McNair, Late of ""Connaught house,"" Mussooree, of the Indian Survey Department, the First European Explorer of Kafiristan",en
10383,"The Maternal Management of Children, in Health and Disease",en
10384,Le Pays de l'or,fr
10385,"Histoire de la Révolution française, Tome 03",fr
10386,"Thoughts on the Necessity of Improving the Condition of the Slaves in the British Colonies With a View to Their Ultimate Emancipation; and on the Practicability, the Safety, and the Advantages of the Latter Measure.",en
10387,A Century Too Soon: The Age of Tyranny,en
10389,"Northern Trails, Book I.",en
1039,Missionary Travels and Researches in South Africa,en
10390,The Edinburgh Lectures on Mental Science,en
10391,The Wolf's Long Howl,en
10392,The Reminiscences of Sir Henry Hawkins (Baron Brampton),en
10393,Making the House a Home,en
10394,Stolen Treasure,en
10395,Joy and Power: Three Messages with One Meaning,en
10396,"Andy the Acrobat Or, Out with the Greatest Show on Earth",en
10397,"Affairs of State Being an Account of Certain Surprising Adventures Which Befell an American Family in the Land of Windmills",en
10398,The American Child,en
10399,The Story of Louis Riel: the Rebel Chief,en
104,"Inaugural Address of Franklin Delano Roosevelt Given in Washington, D.C. March 4th, 1933",en
1040,The Three Taverns: A Book of Poems,en
10400,Historie van Mejuffrouw Sara Burgerhart,nl
10401,"Personal Memoir of Daniel Drayton, For Four Years and Four Months a Prisoner (For Charity's Sake) in Washington Jail Including A Narrative Of The Voyage And Capture Of The Schooner Pearl",en
10402,A Man and His Money,en
10403,"'Twixt France and Spain Or, A Spring in the Pyrenees",en
10404,Man-Size,en
10408,"Bring Back My Blushing Rose (""Sally Won't You Come Back"") Foxtrot Medley",en
10409,The Crisis of the Naval War,en
1041,Shakespeare's Sonnets,en
10410,The Powers and Maxine,en
10415,Nights of Gladness: Waltz,en
10417,"Love, Life & Work Being a Book of Opinions Reasonably Good-Natured Concerning How to Attain the Highest Happiness for One's Self with the Least Possible Harm to Others",en
10418,The Money Moon: A Romance,en
10419,The Forest Monster of Oz,en
1042,"A Reading of Life, with Other Poems",en
10420,The Principles of Success in Literature,en
10421,The Life of Lord Byron,en
10422,Caesar Dies,en
10425,"Torquato Tasso Ein Schauspiel",de
10426,Die natürliche Tochter,de
10427,Scientific Essays and Lectures,en
10428,Die Aufgeregten,de
10429,Miss Lulu Bett,en
1043,The Story of Evolution,en
10430,Trips to the Moon,en
10431,"Thirty Years a Slave From Bondage to Freedom: The Institution of Slavery as Seen on the Plantation and in the Home of the Planter: Autobiography of Louis Hughes",en
10432,Aunt Jane's Nieces out West,en
10433,A Flock of Girls and Boys,en
10434,"Wyandotté; Or, The Hutted Knoll: A Tale",en
10435,"The Atlantic Monthly, Volume 02, No. 12, October, 1858 A Magazine of Literature, Art, and Politics",en
10436,Erick and Sally,en
10437,Pulpit and Press (6th Edition),en
10438,Up the Hill and Over,en
