city_id,name,latitude,longitude
3430940,Malabrigo,-29.34636,-59.96957
3430968,Maciá,-32.1722,-59.39947
3430988,Luján,-34.57028,-59.105
3431606,Las Toscas,-28.3529,-59.25795
3431916,Larroque,-33.03595,-59.00125
3432043,La Plata,-34.92145,-57.95453
3432079,La Paz,-30.74485,-59.64566
3432355,La Leonesa,-27.03786,-58.70347
3432760,La Cruz,-29.17443,-56.64326
3433349,Jardín América,-27.04346,-55.22698
3433363,Itatí,-27.27043,-58.24458
3433513,Ibarreta,-25.21438,-59.85851
3433658,Gualeguaychú,-33.00937,-58.51722
3433663,Gualeguay,-33.14156,-59.30966
3433715,Goya,-29.14395,-59.2651
3433743,Gobernador Roca,-27.18636,-55.46433
3433753,Gobernador Ingeniero Valentín Virasoro,-28.05,-56.03333
3433803,General José de San Martín,-26.53743,-59.34158
3433836,Garupá,-27.48171,-55.82921
3433839,Garuhapé,-26.81768,-54.95665
3433899,Formosa,-26.17753,-58.17814
3433901,Fontana,-27.41813,-59.02392
3433956,Federal,-30.95465,-58.78326
3433959,Federación,-31.00621,-57.89962
3434095,Esquina,-30.01444,-59.52719
3434291,El Soberbio,-27.29847,-54.19877
3434731,El Colorado,-26.30808,-59.37291
3434932,El Alcázar,-26.71459,-54.81523
3434995,Dos de Mayo,-27.02277,-54.68669
3435038,Dolores,-36.31321,-57.67918
3435103,Curuzú Cuatiá,-29.79171,-58.0546
3435217,Corrientes,-27.4806,-58.8341
3435261,Concordia,-31.39296,-58.02089
3435264,Concepción del Uruguay,-32.48249,-58.23722
3435266,Concepción de la Sierra,-27.98311,-55.52031
3435283,Comandante Fontana,-25.33453,-59.68212
3435290,Colonia Wanda,-25.97408,-54.42806
3435344,Colonia Aurora,-27.47428,-54.52498
3435356,Colegiales,-34.57365,-58.44924
3435364,Clorinda,-25.28481,-57.71851
3435486,Chajarí,-30.75048,-57.97962
3435532,Cerro Azul,-27.6331,-55.4962
3435701,Capioví,-26.92998,-55.06084
3435734,Candelaria,-27.4595,-55.74536
3435750,Campo Viera,-27.38333,-55.03333
3435765,Campo Ramón,-27.46108,-55.01901
3435789,Campo Grande,-27.2077,-54.97977
3435810,Campana,-34.16874,-58.95914
3435910,Buenos Aires,-34.61315,-58.37723
3435966,Bovril,-31.34311,-59.44512
3436030,Bernardo de Irigoyen,-26.2552,-53.64581
3436124,Barranqueras,-27.48132,-58.93925
3436199,Azul,-36.77698,-59.85854
3436230,Avellaneda,-29.11761,-59.65834
3436287,Aristóbulo del Valle,-27.09625,-54.89626
3436370,Alvear,-29.09683,-56.55043
3436448,Alba Posse,-27.56978,-54.68262
3832132,Zapala,-38.89916,-70.05442
3832189,Yuto,-23.64342,-64.47194
3832260,Yerba Buena,-26.81667,-65.31667
3832376,Yacimiento Río Turbio,-51.57321,-72.3508
3832647,Villa Regina,-39.1,-67.06667
3832653,Villa Paula de Sarmiento,-31.4933,-68.53838
3832658,Villa Ojo de Agua,-29.50003,-63.69377
3832662,Villa Nueva,-32.43293,-63.24763
3832694,Villa María,-32.40751,-63.24016
3832711,Villa La Angostura,-40.76173,-71.64631
3832719,Villa Huidobro,-34.83826,-64.58686
3832734,Villa General Belgrano,-31.97542,-64.5559
3832756,Villa Dolores,-31.94585,-65.18958
3832759,Villa de Soto,-30.85523,-64.99947
3832763,Villa del Totoral,-30.81667,-63.71667
3832778,Villa Constitución,-33.22778,-60.3297
3832783,Chañar Ladeado,-33.32524,-62.03831
3832791,Villa Carlos Paz,-31.42414,-64.49778
3832793,Villa Cañás,-34.00565,-61.60757
3832797,Villa Berthet,-27.29174,-60.41263
3832811,Villa Ángela,-27.57383,-60.71526
3832815,Villa Allende,-31.29458,-64.29538
3832899,Viedma,-40.81345,-62.99668
3832917,Vicuña Mackenna,-33.91965,-64.39215
3832923,Victorica,-36.21505,-65.43586
3832934,Victoria,-32.61841,-60.15478
3832959,Viale,-31.86782,-60.00722
3833027,Vera,-29.4593,-60.21261
3833062,Venado Tuerto,-33.74556,-61.96885
3833111,Veinticinco de Mayo,-37.7741,-67.71638
3833112,Veinticinco de Mayo,-35.4323,-60.17271
3833211,Valle Hermoso,-31.11732,-64.48084
3833367,Ushuaia,-54.8,-68.3
3833412,Unquillo,-31.23073,-64.31615
3833675,Trevelin,-43.0858,-71.46386
3833794,Tres Isletas,-26.34067,-60.43207
3833859,Tres Arroyos,-38.37394,-60.27978
3833883,Trelew,-43.24895,-65.30505
3833947,Trancas,-26.21575,-65.28492
3833995,Totoras,-32.5844,-61.16852
3834048,Tostado,-29.23202,-61.76917
3834361,Tinogasta,-28.06319,-67.56488
3834397,Tilisarao,-32.73292,-65.29109
3834403,Tilcara,-23.57757,-65.3509
3834502,Termas de Río Hondo,-27.49362,-64.85972
3834601,Tartagal,-22.51637,-63.80131
3834665,Tancacha,-32.24309,-63.9807
3834813,Tafí Viejo,-26.73201,-65.25921
3834843,Taco Pozo,-25.61667,-63.28333
3834961,Suncho Corral,-27.93357,-63.42938
3834971,Sunchales,-30.94404,-61.56148
3835238,Simoca,-27.26272,-65.35647
3835297,Sierra Grande,-41.60603,-65.35574
3835372,Senillosa,-39.01412,-68.43281
3835695,Sastre,-31.76762,-61.82887
3835710,Sarmiento,-45.58815,-69.06996
3835793,Santo Tomé,-31.66274,-60.7653
3835869,Santiago del Estero,-27.79511,-64.26149
3835921,Santa Sylvina,-27.83261,-61.13747
3835938,Santa Rosa de Río Primero,-31.15231,-63.40191
3835943,Santa Rosa de Calamuchita,-32.06905,-64.53631
3835994,Santa Rosa,-36.61667,-64.28333
3836194,Santa Lucía,-31.53987,-68.49503
3836277,Santa Fe de la Vera Cruz,-31.63333,-60.7
3836564,San Salvador de Jujuy,-24.19457,-65.29712
3836620,San Ramón de la Nueva Orán,-23.13705,-64.32426
3836669,San Rafael,-34.61772,-68.33007
3836772,San Pedro,-24.23127,-64.86614
3836846,San Nicolás de los Arroyos,-33.33578,-60.22523
3836873,San Miguel de Tucumán,-26.82414,-65.2226
3836951,San Martín de los Andes,-40.15789,-71.35337
3836992,San Martín,-33.08103,-68.46814
3836993,San Martín,-31.42957,-68.50065
3837056,San Luis,-33.29501,-66.33563
3837124,San Justo,-30.78913,-60.59189
3837213,San Juan,-31.5375,-68.53639
3837240,San José de Jáchal,-30.24057,-68.74693
3837441,San Jorge,-31.89618,-61.85984
3837675,San Francisco,-31.42797,-62.08266
3837702,San Fernando del Valle de Catamarca,-28.46957,-65.78524
3837823,San Cristóbal,-30.31053,-61.23724
3837857,San Carlos Centro,-31.72864,-61.09192
3837943,San Bernardo,-27.28782,-60.71252
3837956,San Benito,-31.78371,-60.44156
3837980,San Antonio Oeste,-40.73193,-64.94769
3838158,San Agustín de Valle Fértil,-30.63353,-67.46821
3838201,Sampacho,-33.3839,-64.72211
3838233,Salta,-24.7859,-65.41166
3838235,Salsipuedes,-31.13725,-64.29589
3838506,Rufino,-34.26827,-62.71262
3838583,Rosario,-32.94682,-60.63932
3838638,Roldán,-32.89846,-60.90681
3838793,Río Tercero,-32.17301,-64.11405
3838797,Río Segundo,-31.6526,-63.9099
3838859,Río Gallegos,-51.62261,-69.21813
3838874,Río Cuarto,-33.13067,-64.34992
3838902,Río Ceballos,-31.16486,-64.32241
3839262,Recreo,-31.49076,-60.73299
3839263,Recreo,-29.28184,-65.06096
3839282,Realicó,-35.03658,-64.2447
3839307,Rawson,-43.30016,-65.10228
3839479,Rafaela,-31.25033,-61.4867
3839482,Rada Tilly,-45.93333,-67.53333
3839490,Quitilipi,-26.86913,-60.21683
3839565,Quimilí,-27.63333,-62.41667
3839982,Punta Alta,-38.87588,-62.07359
3840082,San Julián,-49.30554,-67.72743
3840092,Puerto Madryn,-42.7692,-65.03851
3840104,Puerto Deseado,-47.75034,-65.89382
3840300,Presidencia Roque Sáenz Peña,-26.78522,-60.43876
3840470,Pozo del Molle,-32.0186,-62.91984
3840860,Pocito,-31.68333,-68.58333
3840885,Plottier,-38.96667,-68.23333
3840896,Plaza Huincul,-38.92598,-69.20863
3841149,Pilar,-31.6789,-63.87964
3841309,Pico Truncado,-46.7949,-67.95731
3841490,Pergamino,-33.88995,-60.57357
3841500,Pérez,-32.99835,-60.76791
3841956,Paraná,-31.73197,-60.5238
3842142,Pampa del Infierno,-26.50517,-61.17436
3842190,Palpalá,-24.25647,-65.21163
3842268,Palma Sola,-23.96336,-64.29872
3842621,Oncativo,-31.91353,-63.68201
3842662,Oliva,-32.04158,-63.56978
3842670,Olavarría,-36.89272,-60.32254
3842881,Nueve de Julio,-35.44437,-60.88313
3842882,Nueve de Julio,-31.66914,-68.39023
3843123,Neuquén,-38.95161,-68.0591
3843619,Morteros,-30.71164,-61.99862
3843803,Monteros,-27.16741,-65.49832
3843830,Monte Maíz,-33.20462,-62.60085
3843871,Monte Cristo,-31.34312,-63.94437
3843881,Monte Buey,-32.91642,-62.45669
3844229,Mina Clavero,-31.72101,-65.00619
3844377,Merlo,-32.34288,-65.01396
3844421,Mendoza,-32.89084,-68.82717
3844899,Marcos Juárez,-32.6978,-62.10672
3845073,Malvinas Argentinas,-31.38333,-64.06667
3845202,Malagueño,-31.46467,-64.3584
3845330,Machagai,-26.92614,-60.04955
3846175,Los Frentones,-26.4077,-61.41367
3846514,Los Altos,-28.04845,-65.49945
3846864,Lincoln,-34.86649,-61.5302
3846915,Libertador General San Martín,-23.80644,-64.78757
3846991,Leones,-32.66174,-62.29678
3847482,La Toma,-33.05258,-65.62385
3847613,Las Varillas,-31.87208,-62.71946
3847836,Las Rosas,-32.47661,-61.58041
3847933,Las Parejas,-32.68478,-61.51637
3848164,Las Lomitas,-24.70955,-60.59303
3848209,Las Lajitas,-24.68333,-64.25
3848343,Las Higueras,-33.09231,-64.28899
3848353,Las Heras,-46.54186,-68.93593
3848687,Las Breñas,-27.08966,-61.08161
3848950,La Rioja,-29.41105,-66.85067
3849140,La Quiaca,-22.10236,-65.59299
3850005,Lamarque,-39.42304,-65.70208
3850920,Laguna Paiva,-31.30391,-60.65894
3850929,Laguna Larga,-31.77652,-63.80104
3851331,La Falda,-31.08841,-64.48987
3851798,La Cumbre,-30.98201,-64.49139
3851985,La Cocha,-27.77729,-65.57035
3852279,La Carlota,-33.41993,-63.29769
3852374,La Calera,-31.34377,-64.33529
3852468,Laboulaye,-34.12662,-63.39119
3852480,Laborde,-33.15319,-62.85661
3853330,Justo Daract,-33.8594,-65.18277
3853331,Justiniano Posse,-32.88411,-62.67788
3853350,Junín de los Andes,-39.95043,-71.06936
3853354,Junín,-34.58382,-60.94332
3853491,Joaquín V. González,-25.08333,-64.18333
3853510,Jesús María,-30.98153,-64.09424
3853745,Intendente Alvear,-35.23383,-63.59205
3853767,Ingenio La Esperanza,-24.22554,-64.83896
3853782,Ingeniero Luis A. Huergo,-39.08333,-67.23333
3853786,Ingeniero Jacobacci,-41.3292,-69.55015
3853788,Ingeniero Guillermo N. Juárez,-23.9,-61.85
3853935,Icaño,-28.91934,-65.32817
3853967,Humahuaca,-23.20544,-65.35048
3853974,Huinca Renancó,-34.84038,-64.3758
3853981,Huillapima,-28.72533,-65.9787
3854008,Huerta Grande,-31.07524,-64.49063
3854331,Hernando,-32.42657,-63.73333
3854336,Hermoso Campo,-27.60816,-61.34441
3854493,Guatraché,-37.66776,-63.53021
3854724,Graneros,-27.64934,-65.4383
3854895,Granadero Baigorria,-32.85683,-60.71754
3854985,Gobernador Gálvez,-33.03016,-60.64045
3855041,General Villegas,-35.03285,-63.01252
3855065,General Roca,-39.03333,-67.58333
3855067,General Ramírez,-32.17601,-60.20079
3855074,General Pinedo,-27.31667,-61.28333
3855075,General Pico,-35.65662,-63.75682
3855098,General Levalle,-34.01472,-63.92413
3855114,General Fernández Oro,-38.95297,-67.92489
3855116,General Enrique Mosconi,-22.59588,-63.81255
3855121,General Conesa,-40.1,-64.43333
3855124,General Cabrera,-32.81313,-63.87243
3855143,General Acha,-37.37698,-64.60431
3855244,Gálvez,-32.02927,-61.22103
3855284,Gaimán,-43.2897,-65.4929
3855302,Funes,-32.91568,-60.80995
3855368,Fray Luis Beltrán,-39.31667,-65.76667
3855370,Fray Luis A. Beltrán,-32.79122,-60.72819
3855394,Fraile Pintado,-23.94079,-64.79943
3855554,Firmat,-33.45937,-61.4832
3855588,Fiambalá,-27.68705,-67.6149
3855666,Famaillá,-27.05413,-65.40329
3855974,Esquel,-42.91147,-71.31947
3856022,Esperanza,-31.4488,-60.93173
3856231,Embarcación,-23.21003,-64.09965
3856235,Embalse,-32.18,-64.41809
3856436,El Trébol,-32.2008,-61.7014
3857012,El Quebrachal,-25.28333,-64.06667
3857974,El Galpón,-25.38069,-64.65259
3858553,El Carril,-25.0741,-65.49174
3858677,El Calafate,-50.34075,-72.27682
3858765,El Bolsón,-41.96051,-71.53336
3859036,Eduardo Castex,-35.91501,-64.29448
3859384,Diamante,-32.06641,-60.63837
3859409,Devoto,-31.40431,-62.30634
3859429,Despeñaderos,-31.81626,-64.28989
3859512,Deán Funes,-30.42036,-64.34984
3859552,Cutral-Có,-38.93424,-69.23052
3859828,Cruz del Eje,-30.72644,-64.80387
3859839,Cruz Alta,-33.00887,-61.80746
3859904,Crespo,-32.02873,-60.30658
3859965,Cosquín,-31.24508,-64.46563
3859974,Corzuela,-26.95374,-60.96928
3860129,Corral de Bustos,-33.28205,-62.18463
3860164,Coronel Suárez,-37.45467,-61.93343
3860178,Coronel Moldes,-33.6227,-64.59711
3860197,Coronel Du Graty,-27.68038,-60.91462
3860199,Coronel Dorrego,-38.71867,-61.28733
3860217,Coronda,-31.97263,-60.91983
3860259,Córdoba,-31.4135,-64.18105
3860419,Concepción del Bermejo,-26.59926,-60.94617
3860443,Comodoro Rivadavia,-45.86413,-67.49656
3861002,Clodomira,-27.5744,-64.13108
3861056,Cipolletti,-38.93392,-67.99032
3861061,Cinco Saltos,-38.82225,-68.06293
3861262,Chos Malal,-37.37809,-70.27085
3861329,Choele Choel,-39.26667,-65.68333
3861344,Chivilcoy,-34.89566,-60.01667
3861416,Chimbas,-31.48333,-68.53333
3861445,Chilecito,-29.16195,-67.4974
3861494,Chicoana,-25.10088,-65.5331
3861678,Charata,-27.21438,-61.18795
3861824,Chamical,-30.36002,-66.31399
3861953,Chacabuco,-34.64167,-60.47389
3861966,Cervantes,-39.05,-67.38333
3862100,Ceres,-29.881,-61.94504
