:START_ID(Book),:END_ID(Author)
1062,"Poe, Edgar Allan"
10620,"Beaumont, Francis"
10621,"Stribling, T. S. (Thomas Sigismund)"
10622,"Cibber, Theophilus"
10623,"Glaspell, Susan"
10624,"Blackwood, Algernon"
10625,"Skeat, Walter W. (Walter William)"
10626,Various
10627,"Lord, John"
10628,"Keeling, Annie E."
10629,"Wilkinson, Spenser"
1063,"Poe, Edgar Allan"
10630,"Havergal, Frances Ridley"
10631,"Halleck, Reuben Post"
10632,"Daniel, Florence"
10633,"Clarkson, Thomas"
10634,"Caldecott, Randolph"
10635,"Hunt, Leigh"
10636,Rustichello of Pisa
10637,"Gasparin, Agénor, comte de"
10638,"Heffner, George H."
1064,"Poe, Edgar Allan"
10640,"Lord, John"
10641,"Lord, John"
10642,"Cram, Ralph Adams"
10644,"Lord, John"
10645,"McGuinn, Roger"
10646,"McGuinn, Roger"
10647,"Lord, John"
10648,"Lord, John"
10649,"Lord, John"
1065,"Poe, Edgar Allan"
10650,"McGuinn, Roger"
10651,"McGuinn, Roger"
10652,"McGuinn, Roger"
10653,"McGuinn, Roger"
10654,"McGuinn, Roger"
10655,"Airy, George Biddell"
10657,"Caesar, Julius"
10658,"Bennett, Arnold"
10659,"Blackwood, Algernon"
1066,"Freeman, Edward A. (Edward Augustus)"
10660,"Cary, Henry Francis"
10661,Epictetus
10662,"Hodgson, William Hope"
10663,Various
10664,Multatuli
10665,"Lenclos, Ninon de"
10666,Various
10667,"Wren, Percival Christopher"
10668,"Wilson, John Dover"
10669,"Kingsley, Charles"
1067,"Grant, Ulysses S. (Ulysses Simpson)"
10670,"Vizetelly, Ernest Alfred"
10671,"Darwin, Erasmus"
10672,"Caxton, William"
10673,"Hakluyt, Richard"
10674,"Kitson, Harry Dexter"
10675,"Gardiner, A. G. (Alfred George)"
10676,"Rizal, José"
10677,"Harris, Thaddeus Mason"
10678,"Thiers, Adolphe"
10679,"Van Dyke, Henry"
1068,"Grant, Ulysses S. (Ulysses Simpson)"
10680,"Loudun, Eugène"
10681,"Roget, Peter Mark"
10682,"Reid, Mayne"
10683,"Wilberforce, William"
10684,"Bury, J. B. (John Bagnell)"
10685,"Jacob, P. L."
10686,"Bang, Herman"
10687,"Daudet, Alphonse"
10688,"Frey, Hildegard G."
10689,Imbert de Saint-Amand
1069,"Zola, Émile"
10690,Old Sleuth
10691,"Kossuth, Lajos"
10692,"Cooke, John Esten"
10693,"Ellenborough, Edward Law, Earl of"
10694,"Bridge, Cyprian, Sir"
10695,Various
10696,"Curwood, James Oliver"
10697,"Laffon de Ladébat, André-Daniel"
